,name,album,artist,release_date,length,mode,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,忠犬ハチ,忠犬ハチ,ツユ,2021-07-04,180914,1,34,0.323,0.902,0.577,0.0,0.243,-5.681,0.0391,77.675,4,0.722
1,Runaway,All My Demons Greeting Me As A Friend (Deluxe),AURORA,2016-03-11,248826,1,83,0.422,0.629,0.302,7.83e-05,0.104,-9.214,0.0372,114.089,4,0.123
2,Cure For Me,Cure For Me,AURORA,2021-07-07,201640,0,70,0.722,0.0933,0.764,1.82e-05,0.088,-5.86,0.0554,115.917,4,0.416
3,あいつら全員同窓会,あいつら全員同窓会,ZUTOMAYO,2021-06-18,254506,0,73,0.724,0.453,0.913,0.0,0.052,-2.836,0.118,130.968,4,0.913
4,花占い,花占い,Vaundy,2021-07-05,207555,0,66,0.662,0.0141,0.789,0.0,0.317,-7.634,0.0305,135.01,4,0.881
5,ばかじゃないのに,ばかじゃないのに,ZUTOMAYO,2021-07-04,256439,0,62,0.676,0.17,0.937,6.35e-06,0.341,-3.545,0.083,150.974,4,0.739
6,踊,踊,Ado,2021-04-27,208271,1,75,0.707,0.15,0.965,1.38e-06,0.726,-0.736,0.105,128.003,4,0.777
7,怪物,怪物,YOASOBI,2021-01-06,206000,1,79,0.627,0.0699,0.824,6.57e-05,0.31,-3.419,0.118,169.935,4,0.774
8,きらり,きらり,Fujii Kaze,2021-05-03,231882,1,76,0.746,0.00803,0.764,0.0,0.357,-6.833,0.0462,116.982,4,0.701
9,Cry Baby,Cry Baby,Official HIGE DANdism,2021-05-07,240284,1,75,0.318,0.0116,0.902,0.0,0.393,-4.605,0.131,199.844,4,0.437
10,死神,Pale Blue,Kenshi Yonezu,2021-06-16,180760,1,68,0.807,0.0349,0.653,9.08e-06,0.111,-6.308,0.0443,119.019,4,0.939
11,地球儀,Walpurgis,Aimer,2021-04-12,232786,1,54,0.678,0.0129,0.837,4.2e-05,0.0711,-5.367,0.0425,100.058,4,0.916
12,ギラギラ,ギラギラ,Ado,2021-02-14,276213,1,73,0.651,0.052,0.861,0.0,0.0878,-4.128,0.0568,96.014,4,0.731
13,もう少しだけ,もう少しだけ,YOASOBI,2021-05-10,220200,1,75,0.675,0.12,0.746,0.0,0.121,-5.531,0.0288,99.99,4,0.533
14,群青,THE BOOK,YOASOBI,2021-01-06,248026,1,75,0.725,0.305,0.853,0.0,0.115,-3.193,0.0516,134.991,4,0.707
15,廻廻奇譚,廻廻奇譚 / 蒼のワルツ,Eve,2020-12-23,221425,0,69,0.585,0.0138,0.91,0.0,0.19,-3.703,0.0917,92.591,4,0.602
16,三原色,三原色,YOASOBI,2021-07-02,224066,0,75,0.443,0.128,0.893,0.0,0.328,-3.496,0.154,127.999,4,0.826
17,JK BOMBER,朗らかな皮膚とて不服,ZUTOMAYO,2020-08-03,235253,0,48,0.521,0.0512,0.881,4.2e-06,0.11,-3.356,0.103,124.958,4,0.657
18,昼鳶,盗作,ヨルシカ,2020-07-29,162840,1,49,0.735,0.00461,0.746,0.00648,0.118,-4.708,0.034,130.001,4,0.49
19,低血ボルト,ぐされ,ZUTOMAYO,2021-02-10,215826,1,52,0.636,0.236,0.956,1.37e-05,0.274,-3.017,0.13,175.89,4,0.842
20,お勉強しといてよ,ぐされ,ZUTOMAYO,2021-02-10,279200,1,58,0.698,0.0841,0.875,2.5e-05,0.177,-3.318,0.0592,132.031,4,0.868
21,omomo punk,omomo punk,Warren Hue,2021-03-30,193106,0,52,0.575,0.134,0.701,0.0,0.139,-8.448,0.0514,173.972,4,0.324
22,candy choppa,SUGARTOWN,Warren Hue,2019-12-13,147500,0,49,0.939,0.401,0.48,0.0,0.119,-8.162,0.198,119.975,4,0.849
23,Mela!,Mela!,Ryokuoushoku Shakai,2020-04-13,242066,1,67,0.619,0.0439,0.941,1.73e-05,0.318,-1.618,0.0584,137.967,4,0.624
24,sabotage,sabotage,Ryokuoushoku Shakai,2019-10-16,241280,1,53,0.497,0.0155,0.972,0.0,0.139,-0.624,0.0882,161.978,4,0.431
25,たとえたとえ,たとえたとえ,Ryokuoushoku Shakai,2021-03-19,238745,0,55,0.66,0.173,0.919,0.0,0.341,-1.451,0.0491,128.068,4,0.766
26,ずっとずっとずっと,ずっとずっとずっと,Ryokuoushoku Shakai,2021-06-04,228545,1,61,0.68,0.158,0.906,0.0,0.122,-1.419,0.0478,127.989,4,0.806
27,ヒューマノイド,潜潜話,ZUTOMAYO,2019-10-29,259866,0,44,0.565,0.0297,0.967,0.0,0.343,-2.319,0.132,158.928,4,0.754
28,居眠り遠征隊,潜潜話,ZUTOMAYO,2019-10-29,218333,0,49,0.751,0.407,0.715,0.00181,0.0686,-4.664,0.0464,132.009,4,0.893
29,RGB,RGB,YOASOBI,2021-07-16,222000,0,60,0.705,0.0914,0.9,0.0,0.323,-3.405,0.0954,128.029,4,0.845
30,101,101,Sangatsu no Phantasia,2021-07-11,261213,1,42,0.493,0.000616,0.979,0.129,0.13,-3.849,0.154,136.02,4,0.658
31,宇宙の季節,宇宙の季節,Lanndo,2021-07-26,262717,0,0,0.66,0.375,0.587,3.62e-06,0.3,-5.8,0.0335,109.928,4,0.513
